name,company_or_project,title,segment,location,company_url,contact_url,public_business_phone,phone_type,phone_source_url,phone_research_url,public_email,linkedin_or_search_url,source_url,notes,confidence
Harrison Chase,LangChain,Co-founder / CEO,Agent framework / orchestration,"San Francisco, CA",https://www.langchain.com,https://www.langchain.com/contact,,,,https://www.google.com/search?q=LangChain%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Harrison%20Chase%20LangChain,https://www.google.com/search?q=Harrison%20Chase%20LangChain%20founder%20AI%20agents,Known AI agent framework founder,High
Jerry Liu,LlamaIndex,Co-founder / CEO,Agent data framework,"San Francisco, CA",https://www.llamaindex.ai,https://www.llamaindex.ai/contact,,,,https://www.google.com/search?q=LlamaIndex%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Jerry%20Liu%20LlamaIndex,https://www.google.com/search?q=Jerry%20Liu%20LlamaIndex%20founder,Builder of data layer for LLM agents,High
Joao Moura,CrewAI,Founder / CEO,Multi-agent automation framework,"San Francisco, CA",https://www.crewai.com,https://www.crewai.com/contact,,,,https://www.google.com/search?q=CrewAI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Joao%20Moura%20CrewAI,https://www.google.com/search?q=Joao%20Moura%20CrewAI%20founder,Open-source multi-agent workflow founder,High
Flo Crivello,Lindy,Founder / CEO,AI assistant / automation agents,"San Francisco, CA",https://www.lindy.ai,https://www.lindy.ai/contact,,,,https://www.google.com/search?q=Lindy%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Flo%20Crivello%20Lindy%20AI,https://www.google.com/search?q=Flo%20Crivello%20Lindy%20AI%20founder,AI workflow assistant founder,High
Div Garg,MultiOn,Co-founder / CEO,Web automation agents,"Palo Alto, CA",https://www.multion.ai,https://www.multion.ai/contact,,,,https://www.google.com/search?q=MultiOn%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Div%20Garg%20MultiOn,https://www.google.com/search?q=Div%20Garg%20MultiOn%20founder,Browser/web action agent builder,High
Paul Klein IV,Browserbase,Founder / CEO,Browser automation infra for agents,"San Francisco, CA",https://www.browserbase.com,https://www.browserbase.com/contact,,,,https://www.google.com/search?q=Browserbase%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Paul%20Klein%20IV%20Browserbase,https://www.google.com/search?q=Paul%20Klein%20IV%20Browserbase%20founder,Infrastructure for browser agents,High
Jesse Zhang,Decagon,Co-founder / CEO,Customer support AI agents,"San Francisco, CA",https://decagon.ai,https://decagon.ai/contact,,,,https://www.google.com/search?q=Decagon%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Jesse%20Zhang%20Decagon%20AI,https://www.google.com/search?q=Jesse%20Zhang%20Decagon%20AI%20founder,AI customer experience agents,High
Ashwin Sreenivas,Decagon,Co-founder / CTO,Customer support AI agents,"San Francisco, CA",https://decagon.ai,https://decagon.ai/contact,,,,https://www.google.com/search?q=Decagon%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Ashwin%20Sreenivas%20Decagon%20AI,https://www.google.com/search?q=Ashwin%20Sreenivas%20Decagon%20AI%20founder,Technical cofounder for CX agents,High
Bernard Aceituno,StackAI,Co-founder,No-code AI agents,"San Francisco, CA",https://www.stack-ai.com,https://www.stack-ai.com/contact,,,,https://www.google.com/search?q=StackAI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Bernard%20Aceituno%20StackAI,https://www.google.com/search?q=Bernard%20Aceituno%20StackAI%20founder,No-code business agent platform,High
Antoni Rosino,StackAI,Co-founder,No-code AI agents,"San Francisco, CA",https://www.stack-ai.com,https://www.stack-ai.com/contact,,,,https://www.google.com/search?q=StackAI%20phone%20number%20contact%20founder%20AI%20agent,,https://www.linkedin.com/search/results/people/?keywords=Antoni%20Rosino%20StackAI,https://www.google.com/search?q=Antoni%20Rosino%20StackAI%20founder,No-code business agent platform,High
